Original S/NO,,2nd S/NO,date,, 3rd S/NO,date,,4th S/NO,date,,5th S/NO,date,,6th S/NO,date,,7th S/NO,date,,8th S/NO,date,,9th S/NO,date,,10th S/NO,date,,11th S/NO,date,,12th S/NO,date
5B13002478,,6118003018,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A29000636,,6130000048,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27002165,,6111000595,1/3/2018,,5B14001720,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A27001248,,6118002446,1/22/2018,,5B13001962,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A22001064,,5b20002358,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6127002557,,6116001789,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118003255,,6118002119,4/3/2018,,6116001856,6/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118002668,,6116002801,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6118001676,,5a28000329,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116002297,,5a27001822,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001623,,6111000572,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001441,,6118002383,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116001137,,5B07003403,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115000416,,5A28001233,3/26/2018,,5A29000465,6/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001953,,6118001519,4/9/2018,,5A27001312,6/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111001690,,5b12002903,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6111000595,,6115000414,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115000980,,6111000377,5/7/2018,,6129000602,6/4/2018,,6118003013,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,
5a27002204,,6116001504,7/29/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
