,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
,,,Notes,"All estimates of disease prevalence are based on self-reported receipt of diagnosis from a doctor, nurse, or other health professional. Estimates of high cholesterol are limited to the subset of the population (~80%) that reported ever having their cholesterol&nbsp;",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,Annual household income
Location,Condition,Age,TimeFrame,DataFormat,"<$25,000"
Alaska,Arthritis,18+,2013,Percent,31%
Alaska,Arthritis,18+,2013,Num of persons,"34,654"
Alaska,Arthritis,18+,2014,Percent,31%
Alaska,Arthritis,18+,2014,Num of persons,"31,917"
Alaska,Arthritis,18+,2015,Percent,22%
Alaska,Arthritis,18+,2015,Num of persons,"22,244"
Alaska,Arthritis,18+,2016,Percent,31%
Alaska,Arthritis,18+,2016,Num of persons,"30,913"
Alaska,Asthma (current),18+,2013,Percent,13%
Alaska,Asthma (current),18+,2013,Num of persons,"15,049"
Alaska,Asthma (current),18+,2014,Percent,12%
Alaska,Asthma (current),18+,2014,Num of persons,"12,406"
Alaska,Asthma (current),18+,2015,Percent,12%
Alaska,Asthma (current),18+,2015,Num of persons,"12,084"
Alaska,Asthma (current),18+,2016,Percent,12%
Alaska,Asthma (current),18+,2016,Num of persons,"12,116"
Alaska,Cancer,18+,2013,Percent,8%
Alaska,Cancer,18+,2013,Num of persons,"8,957"
Alaska,Cancer,18+,2014,Percent,8%
Alaska,Cancer,18+,2014,Num of persons,"8,256"
Alaska,Cancer,18+,2015,Percent,10%
Alaska,Cancer,18+,2015,Num of persons,"10,185"
Alaska,Cancer,18+,2016,Percent,7%
Alaska,Cancer,18+,2016,Num of persons,"6,960"
Alaska,Chronic kidney disease,18+,2013,Percent,3%
Alaska,Chronic kidney disease,18+,2013,Num of persons,"3,863"
Alaska,Chronic kidney disease,18+,2014,Percent,3%
Alaska,Chronic kidney disease,18+,2014,Num of persons,"3,679"
Alaska,Chronic kidney disease,18+,2015,Percent,4%
Alaska,Chronic kidney disease,18+,2015,Num of persons,"4,510"
Alaska,Chronic kidney disease,18+,2016,Percent,4%
Alaska,Chronic kidney disease,18+,2016,Num of persons,"3,689"
Alaska,COPD,18+,2013,Percent,12%
Alaska,COPD,18+,2013,Num of persons,"13,443"
Alaska,COPD,18+,2014,Percent,9%
Alaska,COPD,18+,2014,Num of persons,"9,220"
Alaska,COPD,18+,2015,Percent,7%
Alaska,COPD,18+,2015,Num of persons,"7,046"
Alaska,COPD,18+,2016,Percent,12%
Alaska,COPD,18+,2016,Num of persons,"12,129"
Alaska,Depression,18+,2013,Percent,25%
Alaska,Depression,18+,2013,Num of persons,"27,961"
Alaska,Depression,18+,2014,Percent,25%
Alaska,Depression,18+,2014,Num of persons,"26,334"
Alaska,Depression,18+,2015,Percent,23%
Alaska,Depression,18+,2015,Num of persons,"24,263"
Alaska,Depression,18+,2016,Percent,24%
Alaska,Depression,18+,2016,Num of persons,"24,260"
Alaska,Diabetes,18+,2013,Percent,12%
Alaska,Diabetes,18+,2013,Num of persons,"13,585"
Alaska,Diabetes,18+,2014,Percent,10%
Alaska,Diabetes,18+,2014,Num of persons,"11,048"
Alaska,Diabetes,18+,2015,Percent,12%
Alaska,Diabetes,18+,2015,Num of persons,"12,564"
Alaska,Diabetes,18+,2016,Percent,10%
Alaska,Diabetes,18+,2016,Num of persons,"9,934"
Alaska,Pre-diabetes or borderline diabetes,18+,2013,Percent,9%
Alaska,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"10,091"
Alaska,Pre-diabetes or borderline diabetes,18+,2014,Percent,9%
